"Rank","Root Domain","Linking Root Domains","Domain Authority"
"181","wikihow.com","328,742","93"
"182","trustpilot.com","281,530","93"
"183","biglobe.ne.jp","223,186","93"
"184","shopify.com","973,696","93"
"185","nginx.com","326,290","93"
"186","hm.com","151,055","93"
"187","time.com","613,650","93"
"188","hollywoodreporter.com","209,145","93"
"189","google.co.id","126,867","93"
"190","naver.com","391,208","93"
"191","abcnews.go.com","455,340","93"
"192","eventbrite.com","537,807","93"
"193","doubleclick.net","668,340","93"
"194","ibm.com","432,822","93"
"195","mashable.com","342,672","93"
"196","mirror.co.uk","249,963","93"
"197","espn.com","279,163","93"
"198","lemonde.fr","213,629","93"
"199","it.wikipedia.org","275,604","93"
"200","cbc.ca","337,194","93"
"201","disney.com","172,925","93"
"202","newsweek.com","234,874","93"
"203","spotify.com","1,005,459","93"
"204","e-recht24.de","440,081","93"
"205","ovh.net","691,376","93"
"206","huffpost.com","395,552","93"
"207","yelp.com","777,927","93"
"208","imageshack.us","792,176","93"
"209","amazon.fr","212,992","93"
"210","search.yahoo.com","367,508","93"
"211","berkeley.edu","373,238","93"
"212","asus.com","135,018","93"
"213","rapidshare.com","281,221","93"
"214","welt.de","154,885","93"
"215","economist.com","295,292","93"
"216","abc.net.au","310,891","93"
"217","naver.jp","125,688","93"
"218","spiegel.de","257,719","93"
"219","ign.com","227,103","93"
"220","walmart.com","255,879","93"
"221","wa.me","226,334","93"
"222","xbox.com","137,598","93"
"223","who.int","387,118","93"
"224","yadi.sk","169,189","93"
"225","netvibes.com","1,129,967","93"
"226","www.weebly.com","302,474","93"
"227","dell.com","203,427","93"
"228","www.over-blog.com","239,176","93"
"229","gravatar.com","1,578,279","93"
"230","latimes.com","564,678","93"
"231","4shared.com","498,837","93"
"232","venturebeat.com","165,174","93"
"233","instructables.com","261,795","93"
"234","bandcamp.com","495,904","93"
"235","ovh.co.uk","542,746","93"
"236","webmd.com","506,366","93"
"237","pl.wikipedia.org","124,823","93"
"238","ru.wikipedia.org","364,391","93"
"239","cisco.com","198,804","93"
"240","businessinsider.com","539,551","93"
"241","nationalgeographic.com","514,694","93"
"242","mysql.com","376,612","93"
"243","nokia.com","156,202","93"
"244","sedo.com","1,848,690","93"
"245","akamaihd.net","402,741","93"
"246","vice.com","287,240","93"
"247","academia.edu","270,866","93"
"248","sapo.pt","208,010","93"
"249","bund.de","468,900","93"
"250","a8.net","403,887","93"
"251","m.wikipedia.org","209,577","93"
"252","ovh.com","374,038","93"
"253","depositfiles.com","140,616","93"
"254","whitehouse.gov","303,264","93"
"255","playstation.com","169,737","93"
"256","washington.edu","289,656","93"
"257","windowsphone.com","123,131","93"
"258","google.co.in","227,073","93"
"259","000webhost.com","311,301","93"
"260","ja.wikipedia.org","317,899","93"
"261","adssettings.google.com","278,090","93"
"262","wp.com","897,074","93"
"263","bp2.blogger.com","515,525","93"
"264","express.co.uk","190,710","93"
"265","marriott.com","320,026","93"
"266","fastcompany.com","242,688","93"
"267","list-manage.com","580,971","93"
"268","google.com.tw","123,079","93"
"269","id.wikipedia.org","376,132","93"
"270","detik.com","321,486","93"
"271","sciencedaily.com","273,434","93"
"272","stackoverflow.com","258,085","93"
"273","rottentomatoes.com","193,820","93"
"274","target.com","221,559","93"
"275","surveymonkey.com","370,339","93"
"276","bt.com","156,493","93"
"277","gen.xyz","6,338,379","93"
"278","instagram.com","19,015,593","93"
"279","weibo.com","1,464,054","93"
"280","gizmodo.com","338,960","93"
"281","quora.com","289,264","93"
"282","digg.com","812,716","93"
"283","alibaba.com","363,043","93"
"284","ask.fm","238,101","93"
"285","goo.ne.jp","295,988","93"
"286","rtve.es","137,007","93"
"287","cdc.gov","484,958","93"
"288","fb.me","222,374","93"
"289","addtoany.com","675,070","93"
"290","mega.nz","138,956","93"
"291","usnews.com","311,609","93"
"292","psychologytoday.com","253,456","93"
"293","dw.com","204,590","93"
"294","shutterstock.com","224,957","93"
"295","parallels.com","587,799","93"
"296","amazon.es","132,662","93"
"297","sky.com","175,093","93"
"298","yandex.ru","929,041","93"
"299","gooyaabitemplates.com","272,879","93"
"300","nature.com","411,248","93"
"301","bitly.com","283,797","93"
"302","ietf.org","316,988","93"
"303","cnbc.com","361,215","93"
"304","pbs.org","408,394","93"
"305","www.skyrock.com","10,743,943","93"
"306","sciencemag.org","241,779","93"
"307","godaddy.com","2,359,017","93"
"308","secureserver.net","805,785","93"
"309","photos1.blogger.com","807,441","93"
"310","nydailynews.com","298,563","93"
"311","abc.es","152,369","93"
"312","google.pl","198,884","93"
"313","ytimg.com","222,767","93"
"314","pixabay.com","250,920","93"
"315","www.wikipedia.org","502,470","93"
"316","blackberry.com","134,853","93"
"317","cpanel.com","1,036,490","93"
"318","bp0.blogger.com","515,298","93"
"319","ggpht.com","561,751","93"
"320","gofundme.com","228,532","93"
"321","cornell.edu","359,844","93"
"322","picasa.google.com","244,214","93"
"323","unesco.org","242,208","93"
"324","princeton.edu","261,348","93"
"325","sendspace.com","150,516","93"
"326","elmundo.es","186,396","93"
"327","nvidia.com","132,833","93"
"328","chicagotribune.com","291,295","93"
"329","theglobeandmail.com","215,097","93"
"330","umich.edu","287,307","93"
"331","metro.co.uk","167,957","93"
"332","viglink.com","267,091","93"
"333","netflix.com","216,792","93"
"334","sports.yahoo.com","170,217","93"
"335","allaboutcookies.org","356,150","93"
"336","cambridge.org","200,509","93"
"337","ea.com","152,935","93"
"338","ikea.com","254,832","93"
"339","qq.com","3,961,715","93"
"340","tripadvisor.com","437,828","93"
"341","urbandictionary.com","204,001","93"
"342","theverge.com","277,596","93"
"343","about.com","676,191","93"
"344","channel4.com","142,455","93"
"345","yale.edu","270,826","93"
"346","my.yahoo.com","1,113,524","93"
"347","storage.googleapis.com","376,862","93"
"348","google.nl","213,494","93"
"349","lycos.com","704,340","93"
"350","columbia.edu","267,657","93"
"351","nhk.or.jp","193,246","93"
"352","variety.com","190,805","93"
"353","finance.yahoo.com","352,274","93"
"354","theatlantic.com","405,755","93"
"355","kickstarter.com","404,991","93"
"356","photobucket.com","1,604,846","93"
"357","vox.com","445,646","93"
"358","office.com","305,928","93"
"359","googleblog.com","206,473","93"
"360","buzzfeed.com","439,553","93"
"361","php.net","586,229","93"
"362","britannica.com","245,492","93"
"363","ox.ac.uk","205,979","93"
"364","npr.org","566,691","93"
